PROVINCIA;FECHA;CASOS;FALLECIDOS;recuperados;descartados epidemiologia;test negativos;test totales
San Luis;16/3/2020;0;;;;;
Santa Cruz;16/3/2020;0;;;;;
Santa Fe;16/3/2020;0;;;;;
Santiago del Estero;16/3/2020;0;;;;;
Tierra del Fuego;16/3/2020;0;;;;;
Tucumán;16/3/2020;0;;;;;
Buenos Aires;17/3/2020;1;;;;;
Catamarca;17/3/2020;0;;;;;
Chaco;17/3/2020;1;;;;;
Chubut;17/3/2020;0;;;;;
Ciudad de Buenos Aires;17/3/2020;4;;;;;
Córdoba;17/3/2020;2;;;;;
Corrientes;17/3/2020;0;;;;;
Entre Ríos;17/3/2020;1;;;;;
Jujuy;17/3/2020;1;;;;;
La Pampa;17/3/2020;0;;;;;
La Rioja;17/3/2020;0;;;;;
Mendoza;17/3/2020;0;;;;;
Misiones;17/3/2020;0;;;;;
Neuquén;17/3/2020;0;;;;;
Río Negro;17/3/2020;1;;;;;
Salta;17/3/2020;1;;;;;
San Juan;17/3/2020;0;;;;;
San Luis;17/3/2020;0;;;;;
Santa Cruz;17/3/2020;1;;;;;
Santa Fe;17/3/2020;0;;;;;
Santiago del Estero;17/3/2020;0;;;;;
Tierra del Fuego;17/3/2020;0;;;;;
Tucumán;17/3/2020;0;;;;;
Buenos Aires;18/3/2020;6;;;;;
Catamarca;18/3/2020;0;;;;;
Chaco;18/3/2020;1;;;;;
Chubut;18/3/2020;0;;;;;
Ciudad de Buenos Aires;18/3/2020;10;;;;;
Córdoba;18/3/2020;1;;;;;
Corrientes;18/3/2020;0;;;;;
Entre Ríos;18/3/2020;1;;;;;
Jujuy;18/3/2020;0;;;;;
La Pampa;18/3/2020;0;;;;;
La Rioja;18/3/2020;0;;;;;
Mendoza;18/3/2020;0;;;;;
Misiones;18/3/2020;0;;;;;
Neuquén;18/3/2020;0;;;;;
Río Negro;18/3/2020;0;;;;;
Salta;18/3/2020;0;;;;;
San Juan;18/3/2020;0;;;;;
San Luis;18/3/2020;0;;;;;
Santa Cruz;18/3/2020;0;;;;;
Santa Fe;18/3/2020;0;;;;;
Santiago del Estero;18/3/2020;0;;;;;
Tierra del Fuego;18/3/2020;0;;;;;
Tucumán;18/3/2020;0;;;;;
Buenos Aires;19/3/2020;14;;;;;
Catamarca;19/3/2020;0;;;;;
Chaco;19/3/2020;2;;;;;
Chubut;19/3/2020;0;;;;;
Ciudad de Buenos Aires;19/3/2020;8;;;;;
Córdoba;19/3/2020;3;;;;;
Corrientes;19/3/2020;0;;;;;
Entre Ríos;19/3/2020;0;;;;;
Jujuy;19/3/2020;0;;;;;
La Pampa;19/3/2020;0;;;;;
La Rioja;19/3/2020;0;;;;;
Mendoza;19/3/2020;0;;;;;
Misiones;19/3/2020;0;;;;;
Neuquén;19/3/2020;0;;;;;
Río Negro;19/3/2020;1;;;;;
Salta;19/3/2020;0;;;;;
San Juan;19/3/2020;0;;;;;
San Luis;19/3/2020;0;;;;;
Santa Cruz;19/3/2020;0;;;;;
Santa Fe;19/3/2020;1;;;;;
Santiago del Estero;19/3/2020;0;;;;;
Tierra del Fuego;19/3/2020;0;;;;;
Tucumán;19/3/2020;1;;;;;
Buenos Aires;20/3/2020;9;;;;;
Catamarca;20/3/2020;0;;;;;
Chaco;20/3/2020;1;;;;;
Chubut;20/3/2020;0;;;;;
Ciudad de Buenos Aires;20/3/2020;9;;;;;
Córdoba;20/3/2020;5;;;;;
Corrientes;20/3/2020;1;;;;;
Entre Ríos;20/3/2020;1;;;;;
Jujuy;20/3/2020;0;;;;;
La Pampa;20/3/2020;0;;;;;
La Rioja;20/3/2020;0;;;;;
Mendoza;20/3/2020;0;;;;;
Misiones;20/3/2020;0;;;;;
Neuquén;20/3/2020;2;;;;;
Río Negro;20/3/2020;0;;;;;
Salta;20/3/2020;0;;;;;
San Juan;20/3/2020;0;;;;;
San Luis;20/3/2020;0;;;;;
Santa Cruz;20/3/2020;0;;;;;
Santa Fe;20/3/2020;0;;;;;
Santiago del Estero;20/3/2020;1;;;;;
Tierra del Fuego;20/3/2020;1;;;;;
Tucumán;20/3/2020;0;;;;;
Buenos Aires;21/3/2020;15;;;;;
Catamarca;21/3/2020;0;;;;;
Chaco;21/3/2020;5;;;;;
Chubut;21/3/2020;0;;;;;
Ciudad de Buenos Aires;21/3/2020;29;;;;;
Córdoba;21/3/2020;4;;;;;
Corrientes;21/3/2020;2;;;;;
Entre Ríos;21/3/2020;0;;;;;
Jujuy;21/3/2020;0;;;;;
La Pampa;21/3/2020;0;;;;;
La Rioja;21/3/2020;0;;;;;
Mendoza;21/3/2020;5;;;;;
Misiones;21/3/2020;0;;;;;
Neuquén;21/3/2020;0;;;;;
Río Negro;21/3/2020;1;;;;;
Salta;21/3/2020;0;;;;;
San Juan;21/3/2020;0;;;;;
San Luis;21/3/2020;0;;;;;
Santa Cruz;21/3/2020;0;;;;;
Santa Fe;21/3/2020;2;;;;;
Santiago del Estero;21/3/2020;0;;;;;
Tierra del Fuego;21/3/2020;3;;;;;
Tucumán;21/3/2020;1;;;;;
Buenos Aires;22/3/2020;8;;;;;
Catamarca;22/3/2020;0;;;;;
Chaco;22/3/2020;7;;;;;
Chubut;22/3/2020;0;;;;;
Ciudad de Buenos Aires;22/3/2020;11;;;;;
Córdoba;22/3/2020;8;;;;;
Corrientes;22/3/2020;0;;;;;
Entre Ríos;22/3/2020;0;;;;;
Jujuy;22/3/2020;0;;;;;
La Pampa;22/3/2020;0;;;;;
La Rioja;22/3/2020;0;;;;;
Mendoza;22/3/2020;0;;;;;
Misiones;22/3/2020;1;;;;;
Neuquén;22/3/2020;0;;;;;
Río Negro;22/3/2020;0;;;;;
Salta;22/3/2020;0;;;;;
San Juan;22/3/2020;0;;;;;
San Luis;22/3/2020;0;;;;;
Santa Cruz;22/3/2020;0;;;;;
Santa Fe;22/3/2020;0;;;;;
Santiago del Estero;22/3/2020;0;;;;;
Tierra del Fuego;22/3/2020;0;;;;;
Tucumán;22/3/2020;5;;;;;
Buenos Aires;23/3/2020;5;;;;;
Catamarca;23/3/2020;0;;;;;
Chaco;23/3/2020;4;;;;;
Chubut;23/3/2020;0;;;;;
Ciudad de Buenos Aires;23/3/2020;11;;;;;
Córdoba;23/3/2020;3;;;;;
Corrientes;23/3/2020;0;;;;;
Entre Ríos;23/3/2020;0;;;;;
Jujuy;23/3/2020;0;;;;;
La Pampa;23/3/2020;0;;;;;
La Rioja;23/3/2020;0;;;;;
Mendoza;23/3/2020;0;;;;;
Misiones;23/3/2020;0;;;;;
Neuquén;23/3/2020;0;;;;;
Río Negro;23/3/2020;0;;;;;
Salta;23/3/2020;0;;;;;
San Juan;23/3/2020;0;;;;;
San Luis;23/3/2020;0;;;;;
Santa Cruz;23/3/2020;0;;;;;
Santa Fe;23/3/2020;13;;;;;
Santiago del Estero;23/3/2020;0;;;;;
Tierra del Fuego;23/3/2020;0;;;;;
Tucumán;23/3/2020;0;;;;;
Buenos Aires;24/3/2020;28;;;;;
Catamarca;24/3/2020;0;;;;;
Chaco;24/3/2020;9;;;;;
Chubut;24/3/2020;0;;;;;
Ciudad de Buenos Aires;24/3/2020;30;;;;;
Córdoba;24/3/2020;7;;;;;
Corrientes;24/3/2020;0;;;;;
Entre Ríos;24/3/2020;0;;;;;
Jujuy;24/3/2020;0;;;;;
La Pampa;24/3/2020;1;;;;;
La Rioja;24/3/2020;0;;;;;
Mendoza;24/3/2020;0;;;;;
Misiones;24/3/2020;0;;;;;
Neuquén;24/3/2020;1;;;;;
Río Negro;24/3/2020;0;;;;;
Salta;24/3/2020;0;;;;;
San Juan;24/3/2020;0;;;;;
San Luis;24/3/2020;0;;;;;
Santa Cruz;24/3/2020;1;;;;;
Santa Fe;24/3/2020;3;;;;;
Santiago del Estero;24/3/2020;0;;;;;
Tierra del Fuego;24/3/2020;4;;;;;
Tucumán;24/3/2020;0;;;;;
Buenos Aires;25/3/2020;30;;;;;
Catamarca;25/3/2020;0;;;;;
Chaco;25/3/2020;12;;;;;
Chubut;25/3/2020;0;;;;;
Ciudad de Buenos Aires;25/3/2020;21;;;;;
Córdoba;25/3/2020;15;;;;;
Corrientes;25/3/2020;0;;;;;
Entre Ríos;25/3/2020;3;;;;;
Jujuy;25/3/2020;0;;;;;
La Pampa;25/3/2020;0;;;;;
La Rioja;25/3/2020;0;;;;;
Mendoza;25/3/2020;1;;;;;
Misiones;25/3/2020;0;;;;;
Neuquén;25/3/2020;1;;;;;
Río Negro;25/3/2020;0;;;;;
Salta;25/3/2020;0;;;;;
San Juan;25/3/2020;0;;;;;
San Luis;25/3/2020;3;;;;;
Santa Cruz;25/3/2020;5;;;;;
Santa Fe;25/3/2020;22;;;;;
Santiago del Estero;25/3/2020;0;;;;;
Tierra del Fuego;25/3/2020;1;;;;;
Tucumán;25/3/2020;2;;;;;
Buenos Aires;26/3/2020;27;;;;;
Catamarca;26/3/2020;0;;;;;
Chaco;26/3/2020;3;;;;;
Chubut;26/3/2020;0;;;;;
Ciudad de Buenos Aires;26/3/2020;30;;;;;
Córdoba;26/3/2020;4;;;;;
Corrientes;26/3/2020;0;;;;;
Entre Ríos;26/3/2020;0;;;;;
Jujuy;26/3/2020;2;;;;;
La Pampa;26/3/2020;0;;;;;
La Rioja;26/3/2020;0;;;;;
Mendoza;26/3/2020;1;;;;;
Misiones;26/3/2020;0;;;;;
Neuquén;26/3/2020;3;;;;;
Río Negro;26/3/2020;0;;;;;
Salta;26/3/2020;0;;;;;
San Juan;26/3/2020;0;;;;;
San Luis;26/3/2020;0;;;;;
Santa Cruz;26/3/2020;2;;;;;
Santa Fe;26/3/2020;12;;;;;
Santiago del Estero;26/3/2020;0;;;;;
Tierra del Fuego;26/3/2020;3;;;;;
Tucumán;26/3/2020;0;;;;;
Buenos Aires;27/3/2020;36;;;;;
Catamarca;27/3/2020;0;;;;;
Chaco;27/3/2020;3;;;;;
Chubut;27/3/2020;0;;;;;
Ciudad de Buenos Aires;27/3/2020;43;;;;;
Córdoba;27/3/2020;5;;;;;
Corrientes;27/3/2020;2;;;;;
Entre Ríos;27/3/2020;3;;;;;
Jujuy;27/3/2020;0;;;;;
La Pampa;27/3/2020;0;;;;;
La Rioja;27/3/2020;0;;;;;
Mendoza;27/3/2020;1;;;;;
Misiones;27/3/2020;0;;;;;
Neuquén;27/3/2020;3;;;;;
Río Negro;27/3/2020;3;;;;;
Salta;27/3/2020;0;;;;;
San Juan;27/3/2020;0;;;;;
San Luis;27/3/2020;0;;;;;
Santa Cruz;27/3/2020;0;;;;;
Santa Fe;27/3/2020;9;;;;;
Santiago del Estero;27/3/2020;1;;;;;
Tierra del Fuego;27/3/2020;0;;;;;
Tucumán;27/3/2020;6;;;;;
Buenos Aires;28/3/2020;8;;;;;
Catamarca;28/3/2020;0;;;;;
Chaco;28/3/2020;5;;;;;
Chubut;28/3/2020;0;;;;;
Ciudad de Buenos Aires;28/3/2020;18;;;;;
Córdoba;28/3/2020;1;;;;;
Corrientes;28/3/2020;3;;;;;
Entre Ríos;28/3/2020;0;;;;;
Jujuy;28/3/2020;0;;;;;
La Pampa;28/3/2020;0;;;;;
La Rioja;28/3/2020;0;;;;;
Mendoza;28/3/2020;1;;;;;
Misiones;28/3/2020;0;;;;;
Neuquén;28/3/2020;2;;;;;
Río Negro;28/3/2020;0;;;;;
Salta;28/3/2020;0;;;;;
San Juan;28/3/2020;0;;;;;
San Luis;28/3/2020;0;;;;;
Santa Cruz;28/3/2020;0;;;;;
Santa Fe;28/3/2020;13;;;;;
Santiago del Estero;28/3/2020;0;;;;;
Tierra del Fuego;28/3/2020;4;;;;;
Tucumán;28/3/2020;0;;;;;
