PROVINCIA;FECHA;CASOS;FALLECIDOS;recuperados;descartados epidemiologia;test negativos;test totales
Entre Ríos;30/3/2020;3;;;;;
Mendoza;30/3/2020;3;;;;;
Neuquén;30/3/2020;8;1;;;;
Santa Fe;30/3/2020;21;;;;;
Tierra del Fuego;30/3/2020;11;;;;;
Tucumán;30/3/2020;0;1;;;;
Buenos Aires;31/3/2020;17;;;;;
Chaco;31/3/2020;3;1;;;;
Chubut;31/3/2020;0;;;;;
Ciudad de Buenos Aires;31/3/2020;19;;;;;
Córdoba;31/3/2020;14;1;;;;
Corrientes;31/3/2020;1;;;;;
La Rioja;31/3/2020;0;1;;;;
Mendoza;31/3/2020;2;;;;;
Misiones;31/3/2020;1;;;;;
Río Negro;31/3/2020;1;;;;;
Santa Fe;31/3/2020;22;;;;;
Tierra del Fuego;31/3/2020;7;;;;;
Tucumán;31/3/2020;1;;;;;
Buenos Aires;1/4/2020;10;2;;;;
Chaco;1/4/2020;12;1;;;;
Ciudad de Buenos Aires;1/4/2020;10;1;;;;
Córdoba;1/4/2020;6;;;;;
Corrientes;1/4/2020;1;;;;;
Entre Ríos;1/4/2020;1;;;;;
Mendoza;1/4/2020;10;1;;;;
Neuquén;1/4/2020;4;;;;;
Río Negro;1/4/2020;0;1;;;;
Salta;1/4/2020;2;;;;;
San Luis;1/4/2020;1;;;;;
Santa Cruz;1/4/2020;10;;;;;
Santa Fe;1/4/2020;11;1;;;;
Tucumán;1/4/2020;1;;;;;
Buenos Aires;2/4/2020;36;2;;;;
Chaco;2/4/2020;3;1;;;;
Ciudad de Buenos Aires;2/4/2020;24;;;;;
Córdoba;2/4/2020;16;;;;;
Corrientes;2/4/2020;1;;;;;
Entre Ríos;2/4/2020;2;;;;;
Jujuy;2/4/2020;2;;;;;
La Rioja;2/4/2020;3;;;;;
Mendoza;2/4/2020;0;1;;;;
Neuquén;2/4/2020;4;;;;;
San Luis;2/4/2020;2;;;;;
Santa Cruz;2/4/2020;2;;;;;
Santa Fe;2/4/2020;8;;;;;
Santiago del Estero;2/4/2020;1;;;;;
Tierra del Fuego;2/4/2020;24;;;;;
Tucumán;2/4/2020;4;;;;;
Buenos Aires;3/4/2020;22;3;;;;
Chaco;3/4/2020;8;1;;;;
