PROVINCIA;Departamento;Localidad;2/3/2020;3/3/2020;4/3/2020;5/3/2020;6/3/2020;7/3/2020;8/3/2020;9/3/2020;10/3/2020;11/3/2020;12/3/2020;13/3/2020;14/3/2020;15/3/2020;16/3/2020;17/3/2020;18/3/2020;19/3/2020;20/3/0202;21/3/2020;22/3/2020;23/3/2020;24/3/2020;25/3/2020;26/3/2020;27/3/2020;28/3/2020;29/3/2020;30/3/2020;31/3/2020;1/4/2020;2/4/2020;3/4/2020;4/4/2020;5/4/2020;6/4/2020;7/4/2020;8/4/2020;9/4/2020;10/4/2020;11/4/2020;15/4/2020;21/4/2020;23/4/2020;24/4/2020;25/4/2020;26/4/2020;27/4/2020;29/4/2020
Neuquén;;Vista Alegre Norte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
Tucumán;Capital;Capital;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;19;19
Tucumán;Yerba Buena;Yerba Buena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;8;8
Tucumán;Tafí Viejo;Tafí Viejo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;4
Tucumán;Cruz Alta;Cruz Alta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2
Tucumán;Río Chico;Río Chico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
Tucumán;Monteros;Monteros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
Entre Ríos;Colón;San José;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
Entre Ríos;Colón;Colón;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Entre Ríos;Gualeguay;Gualeguay;;;;;;;;;;;;1;1;1;1;1;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Entre Ríos;Paraná;Paraná;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Entre Ríos;Villaguay;Villaguay;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Entre Ríos;Nogoyá;Nogoyá;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
