Municipio;País;Provincia;Latitud (generado);Longitud (generado);Casos;Muertes;Fecha actualización;Fuente;;;;;;;;;;;;;;;;;
Quilmes;Argentina;Provincia de Buenos Aires;-34,7399;-58,2751;28;1;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Ramallo;Argentina;Provincia de Buenos Aires;-33,5908;-60,0374;1;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
San Andrés de Giles;Argentina;Provincia de Buenos Aires;-34,426;-59,4696;2;1;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
San Antonio de Areco;Argentina;Provincia de Buenos Aires;-34,2162;-59,5743;3;1;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
San Cayetano;Argentina;Provincia de Buenos Aires;-38,4016;-59,6307;1;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
San Fernando;Argentina;Provincia de Buenos Aires;-34,1626;-58,5612;15;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
San Isidro;Argentina;Provincia de Buenos Aires;-34,4885;-58,5398;45;1;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
San Miguel;Argentina;Provincia de Buenos Aires;-34,5536;-58,7025;32;3;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
San Nicolás;Argentina;Provincia de Buenos Aires;-33,4696;-60,2916;5;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
San Vicente;Argentina;Provincia de Buenos Aires;-35,0856;-58,4234;12;1;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Tandil;Argentina;Provincia de Buenos Aires;-37,3333;-59,1824;2;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Tigre;Argentina;Provincia de Buenos Aires;-34,4003;-58,6066;38;1;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Trenque Lauquen;Argentina;Provincia de Buenos Aires;-36,0921;-62,6413;2;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Tres Arroyos;Argentina;Provincia de Buenos Aires;-38,477;-60,2709;1;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Tres de Febrero;Argentina;Provincia de Buenos Aires;-34,6008;-58,5625;29;2;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Vicente López;Argentina;Provincia de Buenos Aires;-34,5296;-58,5068;60;2;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Zárate;Argentina;Provincia de Buenos Aires;-34,0034;-59,1464;5;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Saladillo;;;;;1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
